Trash,Dutch,English
,man,man
misschien 359214,misschien ,maybe
laten 353505,laten ,to leave
nooit 350946,nooit ,never
nou 347555,nou ,Well
zei 342913,zei ,said
terug 342296,terug ,back
oké 341155,oké ,Okay
mee 336637,mee ,along
niets 329731,niets ,nothing
iemand 328805,iemand ,someone
komt 313150,komt ,comes
toen 312964,toen ,when
veel 307717,veel ,a lot of
even 305017,even ,for a bit
onze 300608,onze ,our
gewoon 295651,gewoon ,Ordinary
weten 293558,weten ,know
komen 291569,komen ,come
nodig 291351,nodig ,necessary
mensen 290275,mensen ,people
tot 288727,tot ,until
worden 281032,worden ,become
zeggen 278585,zeggen ,say
tijd 278263,tijd ,time
weer 276186,weer ,weather
leven 274544,leven ,to live
twee 269781,twee ,two
net 266915,net ,just
tegen 265256,tegen ,in return for
maken 258350,maken ,to make
uw 257050,uw ,your
zeg 254035,zeg ,say
omdat 252830,omdat ,because
zit 251543,zit ,sit
wordt 250695,wordt ,is becoming
z 249724,z ,Z
hou 247154,hou ,keep
kijk 243303,kijk ,look
heel 243287,heel ,all
wij 242654,wij ,We
altijd 234911,altijd ,always
mag 233769,mag ,allowed
gedaan 233289,gedaan ,done
dood 229213,dood ,dead
zeker 228323,zeker ,Certainly
af 220034,af ,off
jaar 215656,jaar ,year
hun 215211,hun ,their
wilde 214119,wilde ,wild
dag 213062,dag ,day
allemaal 210925,allemaal ,all
jouw 210824,jouw ,your
huis 210552,huis ,house
dacht 210182,dacht ,thought
doet 208207,doet ,do
vader 207641,vader ,father
kunt 204817,kunt ,can
wacht 203442,wacht ,guard
zie 198787,zie ,see 
vrouw 198443,vrouw ,woman
keer 196456,keer ,time
andere 195409,andere ,Others
zoals 195251,zoals ,as
zij 193752,zij ,she
dank 189986,dank ,thanks
anders 189426,anders ,otherwise
geef 189089,geef ,give
waren 188873,waren ,goods
willen 188572,willen ,want
zich 187074,zich ,himself
bedankt 185125,bedankt ,Thank you
één 184315,één ,An
mr 183677,mr ,MR
erg 183563,erg ,terribly
wilt 182672,wilt ,want
praten 179721,praten ,to talk
spijt 179198,spijt ,regret
geld 178884,geld ,money
kon 178838,kon ,could
werk 178658,werk ,work
oh 177930,oh ,Oh
iedereen 176789,iedereen ,everyone
beter 176777,beter ,better
werd 175810,werd ,became
moeder 174794,moeder ,mother
niemand 174437,niemand ,no one
vinden 173290,vinden ,find
staat 173184,staat ,stands
gezien 171287,gezien ,seen
niks 171080,niks ,nothing
binnen 167230,binnen ,inside
zitten 167093,zitten ,to sit
zullen 165002,zullen ,shall
na 162379,na ,after
helpen 162225,helpen ,to help
wist 161677,wist ,knew
vind 159802,vind ,find
genoeg 156685,genoeg ,enough
sorry 153660,sorry ,Sorry
vast 152616,vast ,fixed
elkaar 152602,elkaar ,each other
ging 152470,ging ,went
uur 151811,uur ,o'clock
klaar 151070,klaar ,finished
hele 150708,hele ,whole
neem 149716,neem ,take
leuk 148031,leuk ,nice
natuurlijk 147413,natuurlijk ,Naturally
alle 146723,alle ,all
god 145302,god ,God
maak 144655,maak ,make
lang 144498,lang ,long
kwam 142612,kwam ,came
graag 141828,graag ,Please
hé 141375,hé ,Hey
toe 141284,toe ,ate
drie 141271,drie ,three
zegt 140895,zegt ,say
bedoel 140818,bedoel ,mean
deed 139507,deed ,held
dingen 139324,dingen ,stuff
maakt 138947,maakt ,makes
alsjeblieft 138555,alsjeblieft ,please
eerste 138080,eerste ,first
krijgen 137832,krijgen ,to get
zonder 135995,zonder ,without
steeds 135812,steeds ,still
hallo 134987,hallo ,Hello
houden 134284,houden ,to hold
vertellen 134044,vertellen ,narrate
ziet 133855,ziet ,sees
idee 132998,idee ,idea
geven 131642,geven ,to give
achter 131354,achter ,behind
geweest 129097,geweest ,been
blijven 128599,blijven ,to stay
helemaal 128515,helemaal ,absolutely
mooi 127879,mooi ,Nice
onder 127669,onder ,below
kijken 126801,kijken ,to look
zag 126486,zag ,saw
goede 125885,goede ,good  
naam 125347,naam ,name
moest 125032,moest ,had to
blijf 124084,blijf ,stay
kun 123657,kun ,abundance
auto 123520,auto ,car
luister 123012,luister ,listen
grote 122566,grote ,great
lijkt 122559,lijkt ,seems
snel 122260,snel ,fast
ooit 121243,ooit ,ever 
vragen 120995,vragen ,to ask
paar 119519,paar ,couple
wanneer 118956,wanneer ,when
want 118206,want ,because
meneer 118042,meneer ,sir
nieuwe 117799,nieuwe ,new ones
gebeurd 117783,gebeurd ,happened
zorgen 117301,zorgen ,to assure
vriend 117110,vriend ,friend
beetje 116575,beetje ,bit
kinderen 115945,kinderen ,children
gek 115234,gek ,crazy
hand 114442,hand ,hand
vraag 113408,vraag ,ask
laatste 113141,laatste ,last
geweldig 111774,geweldig ,awesome
hadden 111707,hadden ,had
zelfs 110112,zelfs ,even
enige 108971,enige ,any
bang 108357,bang ,anxious
nemen 107484,nemen ,to take
samen 106665,samen ,together
eten 106458,eten ,to eat
o 106208,o ,O
zelf 105869,zelf ,yourself
hoor 104358,hoor ,hear
geleden 104345,geleden ,past
staan 103274,staan ,to stand
gevonden 101957,gevonden ,found it
jongen 101830,jongen ,boy
denken 100712,denken ,think
vandaag 100632,vandaag ,Today
denkt 99598,denkt ,thinks
beste 99513,beste ,Best
gezegd 98732,gezegd ,said
thuis 98444,thuis ,At home
wereld 98156,wereld ,world
jongens 97813,jongens ,boys
heen 97706,heen ,to
ken 96085,ken ,know
hen 95818,hen ,them
eerst 95781,eerst ,first
eigen 94649,eigen ,own
zoon 94005,zoon ,son
gelijk 93785,gelijk ,directly
buiten 93577,buiten ,outside
vertel 93539,vertel ,tell
morgen 92943,morgen ,tomorrow
meisje 92677,meisje ,girl
probleem 92207,probleem ,problem
alsof 92100,alsof ,as if
geloof 91786,geloof ,believe
halen 91416,halen ,to fetch 
familie 91381,familie ,family
elke 91190,elke ,each  
zouden 90745,zouden ,would
hoop 90558,hoop ,heap
politie 89831,politie ,Police
mannen 88242,mannen ,men
bijna 88083,bijna ,almost
vermoord 87785,vermoord ,murdered
eigenlijk 87166,eigenlijk ,actually
werken 86903,werken ,to work
verdomme 86880,verdomme ,damn
horen 86323,horen ,to belong
manier 86308,manier ,way
zat 86182,zat ,fed up
vrienden 86123,vrienden ,friends
precies 85303,precies ,precisely
kind 84394,kind ,child
hè 83925,hè ,Hey
kleine 83652,kleine ,little
begrijp 83359,begrijp ,understand
wou 83099,wou ,wish
geeft 82928,geeft ,gives
orde 82400,orde ,order
houdt 82085,houdt ,holds
verder 81608,verder ,further
vroeg 81010,vroeg ,early
stop 80987,stop ,Stop
wachten 80968,wachten ,to wait
rustig 80885,rustig ,Calm
hoofd 80392,hoofd ,head
krijg 80016,krijg ,get
daarom 79644,daarom ,therefore
gebeurt 79365,gebeurt ,happens
soms 79301,soms ,sometimes
volgens 78650,volgens ,according to
dagen 78121,dagen ,to dawn
vond 77407,vond ,found
krijgt 77203,krijgt ,gets
gemaakt 77105,gemaakt ,made
kant 77067,kant ,side
werkt 76674,werkt ,works
open 76371,open ,Open
gehad 76346,gehad ,having
voel 76130,voel ,feel
zaak 75855,zaak ,case
blij 75681,blij ,pleased
volgende 75620,volgende ,next one
zoek 75591,zoek ,search
kans 75545,kans ,opportunity
vanavond 74852,vanavond ,this evening
bel 74744,bel ,call
probeer 74432,probeer ,try
zoeken 73343,zoeken ,to search
oude 73245,oude ,old
ding 73212,ding ,thing
moment 73205,moment ,moment
best 72892,best ,best
tussen 72407,tussen ,between
plaats 72264,plaats ,place
pas 72216,pas ,pass
gehoord 72189,gehoord ,heard
vijf 72124,vijf ,five
verteld 71375,verteld ,told
zet 70421,zet ,sets
prima 70022,prima ,fine
hulp 69889,hulp ,staff
stad 69801,stad ,city
vindt 69293,vindt ,finds
brengen 68945,brengen ,to take
pijn 68893,pijn ,pain
slecht 68519,slecht ,bad
geloven 68314,geloven ,to believe
eruit 68306,eruit ,out
minuten 68121,minuten ,minute
school 67892,school ,school
plan 67744,plan ,plan
broer 67705,broer ,brother
pak 67661,pak ,business suit
jezelf 67188,jezelf ,yourself
hoeveel 67162,hoeveel ,how many
kamer 66186,kamer ,room
betekent 65961,betekent ,means
spreken 65936,spreken ,speak
juist 65493,juist ,correct
heet 65251,heet ,is called
soort 65248,soort ,kind
haal 64852,haal ,get
ergens 64809,ergens ,somewhere
vier 64780,vier ,four
gebruiken 64681,gebruiken ,to use
ligt 64405,ligt ,is
blijft 64238,blijft ,stays
welke 64115,welke ,which
proberen 64012,proberen ,to attempt
dokter 63817,dokter ,doctor
agent 63555,agent ,agent
help 63532,help ,Help
later 63082,later ,later
voordat 63075,voordat ,before
ogen 62918,ogen ,eyes
vrij 62903,vrij ,free
klopt 62698,klopt ,Correct
gaf 62679,gaf ,gave
foto 62534,foto ,photo
word 62511,word ,become
zodat 62255,zodat ,so that
dochter 61982,dochter ,daughter
problemen 61468,problemen ,issues
plek 60863,plek ,place
water 60841,water ,water
kent 60829,kent ,knows
week 60761,week ,week
beginnen 60700,beginnen ,to start
praat 60565,praat ,talking
eerder 60548,eerder ,earlier
lk 60362,lk ,lk
mis 60292,mis ,mass
handen 60071,handen ,hands
deur 59630,deur ,door
baby 59278,baby ,baby
bellen 59053,bellen ,to call
boven 59016,boven ,upper
groot 58985,groot ,big
echte 58959,echte ,real
hoeft 58632,hoeft ,needs
ie 58600,ie ,ie
doden 58363,doden ,kill
stoppen 58247,stoppen ,fuses
moeilijk 58228,moeilijk ,difficult
dr 57649,dr ,Dr.
sinds 57267,sinds ,since
land 57099,land ,land
spelen 57039,spelen ,to play
zoveel 56681,zoveel ,so much
hetzelfde 56072,hetzelfde ,the same
mevrouw 55850,mevrouw ,Madam
snap 55686,snap ,snap
breng 55649,breng ,bring
pakken 55220,pakken ,to take
druk 55117,druk ,Busy
verhaal 55047,verhaal ,story
lekker 55015,lekker ,Tasty
vrouwen 54920,vrouwen ,women
schat 54898,schat ,Darling
vergeten 54741,vergeten ,forget
gebeuren 54607,gebeuren ,to happen
ervan 54520,ervan ,of it
kreeg 54466,kreeg ,got
waarschijnlijk 54358,waarschijnlijk ,probably
hoi 54330,hoi ,Hi
mogelijk 53888,mogelijk ,possibly
mooie 53773,mooie ,nice
bloed 53765,bloed ,blood
wees 53317,wees ,orphan
nacht 53267,nacht ,night
nieuws 53254,nieuws ,news
bed 53226,bed ,bed
liet 53125,liet ,let
lopen 52842,lopen ,to walk
gelukkig 52806,gelukkig ,happy
waarheid 52805,waarheid ,truth
reden 52589,reden ,rode
papa 52556,papa ,Daddy
hoorde 52304,hoorde ,heard
klinkt 52079,klinkt ,sounds
maanden 52069,maanden ,months
vermoorden 52031,vermoorden ,murder
zorg 51990,zorg ,concern
dollar 51705,dollar ,dollar
bezig 51568,bezig ,busy
voorbij 51461,voorbij ,past
terwijl 51386,terwijl ,while
sta 51380,sta ,stand
zaken 51286,zaken ,Affairs
avond 51218,avond ,evening
tien 51105,tien ,ten
schuld 51056,schuld ,debt
veilig 50903,veilig ,safe
redden 50611,redden ,to rescue
hart 50609,hart ,heart
zult 50560,zult ,will
duidelijk 50325,duidelijk ,clearly
stel 50175,stel ,couple
the 50102,the ,the
schiet 50037,schiet ,shooting
eraan 50016,eraan ,there
zes 49982,zes ,six
begin 49685,begin ,get started
gekomen 49497,gekomen ,arrived
vol 49460,vol ,full
vriendin 49358,vriendin ,female friend
rond 49059,rond ,round
voelt 49014,voelt ,feel
baas 48971,baas ,boss
moord 48872,moord ,murder
ander 48843,ander ,other
klein 48749,klein ,small
fijn 48589,fijn ,fine
jaren 48578,jaren ,years
mam 48070,mam ,mam
lichaam 47882,lichaam ,body
eerlijk 47810,eerlijk ,honestly
gezicht 47803,gezicht ,sight
ver 47792,ver ,far
wakker 47750,wakker ,wake -up
ouders 47675,ouders ,parents
zoiets 47574,zoiets ,something like this
leren 47431,leren ,to learn
telefoon 47429,telefoon ,telephone
los 47185,los ,loose
per 46924,per ,per
mama 46820,mama ,mom
nummer 46581,nummer ,number
fout 46511,fout ,wrong
mogen 46347,mogen ,to be allowed to
meteen 46199,meteen ,immediately
slapen 46123,slapen ,to sleep
zeer 46111,zeer ,very
dezelfde 45938,dezelfde ,the same
liefde 45767,liefde ,love
alstublieft 45696,alstublieft ,Please
deel 45662,deel ,part 
liggen 45510,liggen ,lie
erop 45415,erop ,on top
vaak 45386,vaak ,often
vallen 45284,vallen ,traps
belangrijk 44823,belangrijk ,important
sterven 44628,sterven ,die
oud 44604,oud ,old
neer 44595,neer ,down
buurt 44533,buurt ,neighbourhood
langs 44529,langs ,by
houd 44363,houd ,loves
rest 44302,rest ,rest
stond 44174,stond ,was standing
sir 44022,sir ,sir
begrepen 43973,begrepen ,understood
drinken 43854,drinken ,drinks
team 43410,team ,team
vertelde 43281,vertelde ,told
beneden 43261,beneden ,downstairs
vergeet 43213,vergeet ,forgets
vooruit 43171,vooruit ,ahead
mrs 43163,mrs ,Mrs.
hoort 43123,hoort ,belongs
baan 42966,baan ,track
dicht 42908,dicht ,closed
inderdaad 42901,inderdaad ,indeed
geval 42854,geval ,case
zetten 42520,zetten ,to make
oorlog 42460,oorlog ,war
mezelf 42111,mezelf ,myself
tijdens 42029,tijdens ,during the day
john 41998,john ,John
maakte 41931,maakte ,feature
kennen 41881,kennen ,know
gebruikt 41872,gebruikt ,used
oke 41404,oke ,Okay
geluk 41207,geluk ,luck
hey 41125,hey ,hey
hield 41017,hield ,kept
wapen 40809,wapen ,weapon
kop 40757,kop ,head
vertrouwen 40719,vertrouwen ,to trust
rust 40686,rust ,peace
mond 40549,mond ,mouth
weken 40353,weken ,to soften
elk 40102,elk ,each
betalen 40089,betalen ,pay
anderen 40002,anderen ,others
neemt 39919,neemt ,takes
recht 39851,recht ,straight
nam 39811,nam ,nam
jack 39704,jack ,jacket
kantoor 39590,kantoor ,office
gegeven 39508,gegeven ,datum
ermee 39489,ermee ,with it
overal 39489,overal ,everywhere
eén 39356,eén ,An
daarna 39346,daarna ,then
tweede 39232,tweede ,second
onderzoek 39172,onderzoek ,research
welkom 39139,welkom ,welcome
hard 39129,hard ,hard
liever 39078,liever ,rather
bewijs 39005,bewijs ,evidence
vanaf 38990,vanaf ,from
aardig 38750,aardig ,nice
klootzak 38177,klootzak ,asshole
stuk 38103,stuk ,piece
woord 38045,woord ,word
veranderen 37709,veranderen ,change
zin 37661,zin ,sentence
straks 37601,straks ,soon
vent 37493,vent ,father